county 	Telfair County	GA		16500
county 	Terrell County	GA		9315
county 	Thomas County	GA		44720
county 	Tift County	GA		40118
county 	Toombs County	GA		27223
county 	Towns County	GA		10471
county 	Treutlen County	GA		6885
county 	Troup County	GA		67044
county 	Turner County	GA		8930
county 	Twiggs County	GA		9023
county 	Union County	GA		21356
county 	Upson County	GA		27153
county 	Walker County	GA		68756
county 	Walton County	GA		83768
county 	Ware County	GA		36312
county 	Warren County	GA		5834
county 	Washington County	GA		21187
county 	Wayne County	GA		30099
county 	Webster County	GA		2799
county 	Wheeler County	GA		7421
county 	White County	GA		27144
county 	Whitfield County	GA		102599
county 	Wilcox County	GA		9255
county 	Wilkes County	GA		10593
county 	Wilkinson County	GA		9563
county 	Worth County	GA		21679
county 	Hawaii County	HI		185079
county 	Honolulu County	HI		953207
county 	Kalawao County	HI		90
county 	Kauai County	HI		67091
county 	Maui County	HI		154834
county 	Ada County	ID		392365
county 	Adams County	ID		3976
county 	Bannock County	ID		82839
county 	Bear Lake County	ID		5986
county 	Benewah County	ID		9285
county 	Bingham County	ID		45607
county 	Blaine County	ID		21376
county 	Boise County	ID		7028
county 	Bonner County	ID		40877
county 	Bonneville County	ID		104234
county 	Boundary County	ID		10972
county 	Butte County	ID		2891
county 	Camas County	ID		1117
county 	Canyon County	ID		188923
county 	Caribou County	ID		6963
county 	Cassia County	ID		22952
county 	Clark County	ID		982
county 	Clearwater County	ID		8761
county 	Custer County	ID		4368
county 	Elmore County	ID		27038
county 	Franklin County	ID		12786
county 	Fremont County	ID		13242
county 	Gem County	ID		16719
county 	Gooding County	ID		15464
county 	Idaho County	ID		16267
county 	Jefferson County	ID		26140
county 	Jerome County	ID		22374
county 	Kootenai County	ID		138494
county 	Latah County	ID		37244
county 	Lemhi County	ID		7936
county 	Lewis County	ID		3821
county 	Lincoln County	ID		5208
county 	Madison County	ID		37536
county 	Minidoka County	ID		20069
county 	Nez Perce County	ID		39265
county 	Oneida County	ID		4286
county 	Owyhee County	ID		11526
county 	Payette County	ID		22623
county 	Power County	ID		7817
county 	Shoshone County	ID		12765
county 	Teton County	ID		10170
county 	Twin Falls County	ID		77230
county 	Valley County	ID		9862
county 	Washington County	ID		10198
county 	Adams County	IL		67103
county 	Alexander County	IL		8238
county 	Bond County	IL		17768
county 	Boone County	IL		54165
county 	Brown County	IL		6937
county 	Bureau County	IL		34978
county 	Calhoun County	IL		5089
county 	Carroll County	IL		15387
county 	Cass County	IL		13642
county 	Champaign County	IL		201081
county 	Christian County	IL		34800
county 	Clark County	IL		16335
county 	Clay County	IL		13815
county 	Clinton County	IL		37762
county 	Coles County	IL		53873
county 	Cook County	IL		5194675
county 	Crawford County	IL		19817
county 	Cumberland County	IL		11048
county 	DeKalb County	IL		105160
county 	De Witt County	IL		16561
county 	Douglas County	IL		19980
county 	DuPage County	IL		916924
county 	Edgar County	IL		18576
county 	Edwards County	IL		6721
county 	Effingham County	IL		34242
county 	Fayette County	IL		22140
county 	Ford County	IL		14081
county 	Franklin County	IL		39561
county 	Fulton County	IL		37069
county 	Gallatin County	IL		5589
county 	Greene County	IL		13886
county 	Grundy County	IL		50063
county 	Hamilton County	IL		8457
county 	Hancock County	IL		19104
county 	Hardin County	IL		4320
county 	Henderson County	IL		7331
county 	Henry County	IL		50486
county 	Iroquois County	IL		29718
county 	Jackson County	IL		60218
county 	Jasper County	IL		9698
county 	Jefferson County	IL		38827
county 	Jersey County	IL		22985
county 	Jo Daviess County	IL		22678
county 	Johnson County	IL		12582
county 	Kane County	IL		515269
county 	Kankakee County	IL		113449
county 	Kendall County	IL		114736
county 	Knox County	IL		52919
county 	Lake County	IL		703462
county 	LaSalle County	IL		113924
county 	Lawrence County	IL		16833
county 	Lee County	IL		36031
county 	Livingston County	IL		38950
county 	Logan County	IL		30305
county 	McDonough County	IL		32612
county 	McHenry County	IL		308760
county 	McLean County	IL		169572
county 	Macon County	IL		110768
county 	Macoupin County	IL		47765
county 	Madison County	IL		269282
county 	Marion County	IL		39437
county 	Marshall County	IL		12640
county 	Mason County	IL		14666
county 	Massac County	IL		15429
county 	Menard County	IL		12705
county 	Mercer County	IL		16434
county 	Monroe County	IL		32957
county 	Montgomery County	IL		30104
county 	Morgan County	IL		35547
county 	Moultrie County	IL		14846
county 	Ogle County	IL		53497
county 	Peoria County	IL		186494
county 	Perry County	IL		22350
county 	Piatt County	IL		16729
county 	Pike County	IL		16430
county 	Pope County	IL		4470
county 	Pulaski County	IL		6161
county 	Putnam County	IL		6006
county 	Randolph County	IL		33476
county 	Richland County	IL		16233
county 	Rock Island County	IL		147546
county 	St. Clair County	IL		270056
county 	Saline County	IL		24913
county 	Sangamon County	IL		197465
county 	Schuyler County	IL		7544
county 	Scott County	IL		5355
county 	Shelby County	IL		22363
county 	Stark County	IL		5994
county 	Stephenson County	IL		47711
county 	Tazewell County	IL		135394
county 	Union County	IL		17808
county 	Vermilion County	IL		81625
county 	Wabash County	IL		11947
county 	Warren County	IL		17707
county 	Washington County	IL		14716
county 	Wayne County	IL		16760
county 	White County	IL		14665
county 	Whiteside County	IL		58498
county 	Will County	IL		677560
county 	Williamson County	IL		66357
county 	Winnebago County	IL		295266
county 	Woodford County	IL		38664
county 	Adams County	IN		34387
county 	Allen County	IN		355329
county 	Bartholomew County	IN		76794
county 	Benton County	IN		8854
county 	Blackford County	IN		12766
county 	Boone County	IN		56640
county 	Brown County	IN		15242
county 	Carroll County	IN		20155
county 	Cass County	IN		38966
county 	Clark County	IN		110232
county 	Clay County	IN		26890
county 	Clinton County	IN		33224
county 	Crawford County	IN		10713
county 	Daviess County	IN		31648
county 	Dearborn County	IN		50047
county 	Decatur County	IN		25740
county 	DeKalb County	IN		42223
county 	Delaware County	IN		117671
county 	Dubois County	IN		41889
