Area Name	Place Name	Location	Place Pop	Area Pop	What	In Dict
Conroe/The Woodlands		TX		239938	Urbanized Area	p
	The Woodlands	TX	93847		CDP 	y
	Conroe	TX	56207		city 	n
Lubbock		TX		237356	Urbanized Area	Y
	Lubbock	TX	229573		city 	Y
Salem		OR		236632	Urbanized Area	Y
	Salem	OR	154637		city 	Y
Laredo		TX		235730	Urbanized Area	Y
	Laredo	TX	236091		city 	Y
York		PA		232045	Urbanized Area	Y
	York	PA	43718		city 	Y
Evansville		IN/KY		229351	Urbanized Area	Y
	Evansville	IN	117429		city 	Y
Nashua		NH/MA		226400	Urbanized Area	Y
	Nashua	NH	86494		city 	Y
Wilmington		NC		219957	Urbanized Area	Y
	Wilmington	NC	106476		city 	Y
Visalia		CA		219454	Urbanized Area	n
	Visalia	CA	124442		city 	n
Killeen		TX		217630	Urbanized Area	n
	Killeen	TX	127921		city 	n
Brownsville		TX		217585	Urbanized Area	Y
	Brownsville	TX	175023		city 	Y
Appleton		WI		216154	Urbanized Area	Y
	Appleton	WI	72623		city 	Y
Myrtle Beach/Socastee		SC/NC		215304	Urbanized Area	p
	Myrtle Beach	SC	27109		city 	Y
	Socastee	SC	19952		CDP 	n
Concord		NC		214881	Urbanized Area	Y
	Concord	NC	79066		city 	Y
Thousand Oaks		CA		214811	Urbanized Area	y
	Thousand Oaks	CA	126683		city 	y
Aberdeen/Bel Air South/Bel Air North		MD		213751	Urbanized Area	p
	Bel Air South	MD	47709		CDP 	p
	Bel Air North	MD	30568		CDP 	p
	Aberdeen	MD	14959		city 	Y
Hickory		NC		212195	Urbanized Area	y
	Hickory	NC	40010		city 	y
Kennewick/Pasco		WA		210975	Urbanized Area	n
	Kennewick	WA	73917		city 	n
	Pasco	WA	59781		city 	n
Roanoke		VA		210111	Urbanized Area	Y
	Roanoke	VA	97032		city 	Y
Kalamazoo		MI		209703	Urbanized Area	Y
	Kalamazoo	MI	74262		city 	Y
Norwich/New London		CT/RI		209190	Urbanized Area	y
	Norwich	CT	40493		city 	Y
	New London	CT	27620		city 	y
Gulfport		MS		208948	Urbanized Area	n
	Gulfport	MS	67793		city 	n
Green Bay		WI		206520	Urbanized Area	y
	Green Bay	WI	104057		city 	y
Portland		ME		203914	Urbanized Area	Y
	Portland	ME	66194		city 	Y
Huntington		WV/KY/OH		202637	Urbanized Area	Y
	Huntington	WV	49138		city 	Y
Winter Haven		FL		201289	Urbanized Area	y
	Winter Haven	FL	33874		city 	y
Bremerton		WA		198979	Urbanized Area	n
	Bremerton	WA	37729		city 	n
Avondale/Goodyear		AZ		197041	Urbanized Area	p
	Avondale	AZ	76238		city 	n
	Goodyear	AZ	65275		city 	Y
Amarillo		TX		196651	Urbanized Area	Y
	Amarillo	TX	190695		city 	Y
Erie		PA		196611	Urbanized Area	Y
	Erie	PA	101786		city 	Y
Santa Barbara		CA		195861	Urbanized Area	Y
	Santa Barbara	CA	88410		city 	Y
Waterbury		CT		194535	Urbanized Area	Y
	Waterbury	CT	110366		city 	Y
Fort Walton Beach/Navarre/Wright		FL		191917	Urbanized Area	y
	Navarre	FL	31378		CDP 	Y
